A_SECTOR,SHELF,REEF,REPORT_YEAR,SITE_NO,TRANSECT_NO,FAMILY_2021,GROUP_CODE,COMP_2021,COMP_2021_DESCRIPTION,VISIT_NO,cover,cREPORT_YEAR
CL,M,Lizard Isles,1995,1,1,Acanthasteridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,ACBX,Acropora branching & bottlebrush,3,0.8,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,ACD,Acropora digitate,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,ACSE,Acropora submassive & encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,ACTO,Acropora tabulate & corymbose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,G_AST,Astreopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,G_ISO_B,Isopora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,G_ISO_CSE,Isopora encrusting-submassive,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Acroporidae,HC,G_MON,Montipora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Adeonidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Agariciidae,HC,F_AGA_CEMS,Agariciidae encrusting & submassive,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Agariciidae,HC,F_AGA_CF,Agariciidae foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Alcyoniidae,SC,F_SC_ALC,Alcyoniidae,3,1.6,1995
CL,M,Lizard Isles,1995,1,1,Alcyoniidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Anthothelidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Antipathidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Astrocoeniidae,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Astrocoeniidae,HC,COR_CE,non-Acropora coral encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Benthos,A,MA_OTH,Other Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Bonnemaisoniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Briareidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Caryophylliidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Caulerpaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Chalinidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Cidaridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Class,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Class,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Class,OT,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Class,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,1.6,1995
CL,M,Lizard Isles,1995,1,1,Class,SC,SC_OTH,Other soft coral,3,8.0,1995
CL,M,Lizard Isles,1995,1,1,Class,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Clavulariidae,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Clionaidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Codiacae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Coscinaraeidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Cystocloniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Dasycladaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Dendrophylliidae,HC,COR_CE,non-Acropora coral encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Dendrophylliidae,HC,G_TUB_HET,Tubastrea Heteropsammia,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Dendrophylliidae,HC,G_TUR_DUN,Turbinaria and Duncanopsammia,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Diadematidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Dictyotaceae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Didemnidae,OT,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Diploastraeidae,HC,G_DIP,Diploastrea,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Ellisellidae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Euphylliidae,HC,F_EUPH_PLU,Plerogyridae and Euphylliidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Euphylliidae,HC,G_GAL,Galaxea,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Family,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Fungiidae,HC,F_FUN_CECF,Fungiidae encrusting & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Fungiidae,HC,F_FUN_CMR,Fungiidae free-living,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Gorgoniidae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Group,A,TA,Turf algae,3,71.2,1995
CL,M,Lizard Isles,1995,1,1,Group,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Halimedaceae,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Helioporidae,SC,G_HEL,Heliopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Hydrocharitaceae,SG,SG,Seagrass,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Hydrolithaceae,A,CA,Coralline algae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,INCERTAE SEDIS,HC,G_PAC,Pachyseris,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Isididae,SC,SC_GORG_LIKE,Gorgonian like soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Leptastreidae,HC,G_LEP,Leptastrea,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Liagoraceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lithophyllaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lobophylliidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lobophylliidae,HC,G_ACA_MIC_HOM,Acanthastea Micromussa Homophyllia,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lobophylliidae,HC,G_LOB_AUST,Lobophyllia Australophyllia & A. pachysepta,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lobophylliidae,HC,G_MOS,Moseleya,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Lobophylliidae,HC,G_OXY_ECL_ECY,Oxypora Echinophyllia Echinomorpha,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,COR_CL,Solitary coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,F_MER_CEMS,"Merulinidae encrusting, massive & sub-massive",3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,F_MER_PLE_PLOC,Merulinidae Plesiastreidae plocoid,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_ECH_CB,Echinopora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_ECH_OTH,Echinopora encrusting & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_HYD_CB,Hydnophora branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_HYD_OTH,Hydnophora not branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_MER,Merulina,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_MYC,Mycedium,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Merulinidae,HC,G_PEC,Pectinia,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Milleporidae,OT,G_MIL,Millepora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Nephtheidae,SC,F_SC_NEP,Nephtheidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Non-Acropora coral,HC,COR_CBCF,non-Acropora coral branching & foliose,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Non-Acropora coral,HC,COR_CE,non-Acropora coral encrusting,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Non-Acropora coral,HC,COR_CMCS,non-Acropora coral massive & sub-massive,3,1.6,1995
CL,M,Lizard Isles,1995,1,1,Order,A,CA,Coralline algae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Order,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Order,OT,ZOA,Zoanthids,3,1.6,1995
CL,M,Lizard Isles,1995,1,1,Order,SC,SC_OTH_E,Other encrusting soft coral,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Order,SG,SG,Seagrass,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Peyssonneliaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Phylum,A,MA_GREEN,Green Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Phylum,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Phylum,A,TA,Turf algae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Phylum,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Phylum,SP,SP,Sponges & Ascidians,3,3.2,1995
CL,M,Lizard Isles,1995,1,1,Plerogyridae,HC,F_EUPH_PLU,Plerogyridae and Euphylliidae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Plesiastreidae,HC,F_MER_PLE_PLOC,Merulinidae Plesiastreidae plocoid,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Pocilloporidae,HC,G_POC,Pocillopora,3,0.8,1995
CL,M,Lizard Isles,1995,1,1,Pocilloporidae,HC,G_SER,Seriatopora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Pocilloporidae,HC,G_STY,Stylophora,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Poritidae,HC,G_GON_ALV_BER,"Goniopora, Alveopora & Bernardpora",3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Poritidae,HC,G_POR_B,Porites branching,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Poritidae,HC,G_POR_CECS,Porites encrusting & sub-massive,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Poritidae,HC,G_POR_M,Porites massive,3,1.6,1995
CL,M,Lizard Isles,1995,1,1,Poritidae,HC,S_POR_RUS,Porites rus,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Psammocoridae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Rhizangiidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Rhodomelaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Rhodymeniaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Sarcinochrysidaceae,A,MA_OTH,Other Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Sargassaceae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Scytosiphonacae,A,MA_BROWN,Brown Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Serpulidae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Siderastreidae,HC,F_SID_COS_PSA,Siderastreidae Coscinaraeidae Psammocoridae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Solieriaceae,A,MA_RED,Red Macroalgae,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Spongiidae,SP,SP,Sponges & Ascidians,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Stylasteridae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Subphylum,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Superclass,OT,IN,Indeterminate,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Tridacninae,OT,OT,Other organisms,3,0.0,1995
CL,M,Lizard Isles,1995,1,1,Trochidae,OT,OT,Other organisms,3,0.0,1995
