Year,Site,Transect
1995,1,1
1995,1,2
1995,1,3
1995,1,4
1995,1,5
1995,2,1
1995,2,2
1995,2,3
1995,2,4
1995,2,5
1995,3,1
1995,3,2
1995,3,3
1995,3,4
1995,3,5
1996,1,1
1996,1,2
1996,1,3
1996,1,4
1996,1,5
1996,2,1
1996,2,2
1996,2,3
1996,2,4
1996,2,5
1996,3,1
1996,3,2
1996,3,3
1996,3,4
1996,3,5
1997,1,1
1997,1,2
1997,1,3
1997,1,4
1997,1,5
1997,2,1
1997,2,2
1997,2,3
1997,2,4
1997,2,5
1997,3,1
1997,3,2
1997,3,3
1997,3,4
1997,3,5
1998,1,1
1998,1,2
1998,1,3
1998,1,4
1998,1,5
1998,2,1
1998,2,2
1998,2,3
1998,2,4
1998,2,5
1998,3,1
1998,3,2
1998,3,3
1998,3,4
1998,3,5
1999,1,1
1999,1,2
1999,1,3
1999,1,4
1999,1,5
1999,2,1
1999,2,2
1999,2,3
1999,2,4
1999,2,5
1999,3,1
1999,3,2
1999,3,3
1999,3,4
1999,3,5
2000,1,1
2000,1,2
2000,1,3
2000,1,4
2000,1,5
2000,2,1
2000,2,2
2000,2,3
2000,2,4
2000,2,5
2000,3,1
2000,3,2
2000,3,3
2000,3,4
2000,3,5
2001,1,1
2001,1,2
2001,1,3
2001,1,4
2001,1,5
2001,2,1
2001,2,2
2001,2,3
2001,2,4
2001,2,5
2001,3,1
2001,3,2
2001,3,3
2001,3,4
2001,3,5
2002,1,1
2002,1,2
2002,1,3
2002,1,4
2002,1,5
2002,2,1
2002,2,2
2002,2,3
2002,2,4
2002,2,5
2002,3,1
2002,3,2
2002,3,3
2002,3,4
2002,3,5
2003,1,1
2003,1,2
2003,1,3
2003,1,4
2003,1,5
2003,2,1
2003,2,2
2003,2,3
2003,2,4
2003,2,5
2003,3,1
2003,3,2
2003,3,3
2003,3,4
2003,3,5
2004,1,1
2004,1,2
2004,1,3
2004,1,4
2004,1,5
2004,2,1
2004,2,2
2004,2,3
2004,2,4
2004,2,5
2004,3,1
2004,3,2
2004,3,3
2004,3,4
2004,3,5
2005,1,1
2005,1,2
2005,1,3
2005,1,4
2005,1,5
2005,2,1
2005,2,2
2005,2,3
2005,2,4
2005,2,5
2005,3,1
2005,3,2
2005,3,3
2005,3,4
2005,3,5
2007,1,1
2007,1,2
2007,1,3
2007,1,4
2007,1,5
2007,2,1
2007,2,2
2007,2,3
2007,2,4
2007,2,5
2007,3,1
2007,3,2
2007,3,3
2007,3,4
2007,3,5
2009,1,1
2009,1,2
2009,1,3
2009,1,4
2009,1,5
2009,2,1
2009,2,2
2009,2,3
2009,2,4
2009,2,5
2009,3,1
2009,3,2
2009,3,3
2009,3,4
2009,3,5
2011,1,1
2011,1,2
2011,1,3
2011,1,4
2011,1,5
2011,2,1
2011,2,2
2011,2,3
2011,2,4
2011,2,5
2011,3,1
2011,3,2
2011,3,3
2011,3,4
2011,3,5
2013,1,1
2013,1,2
2013,1,3
2013,1,4
2013,1,5
2013,2,1
2013,2,2
2013,2,3
2013,2,4
2013,2,5
2013,3,1
2013,3,2
2013,3,3
2013,3,4
2013,3,5
2015,1,1
2015,1,2
2015,1,3
2015,1,4
2015,1,5
2015,2,1
2015,2,2
2015,2,3
2015,2,4
2015,2,5
2015,3,1
2015,3,2
2015,3,3
2015,3,4
2015,3,5
2017,1,1
2017,1,2
2017,1,3
2017,1,4
2017,1,5
2017,2,1
2017,2,2
2017,2,3
2017,2,4
2017,2,5
2017,3,1
2017,3,2
2017,3,3
2017,3,4
2017,3,5
2019,1,1
2019,1,2
2019,1,3
2019,1,4
2019,1,5
2019,2,1
2019,2,2
2019,2,3
2019,2,4
2019,2,5
2019,3,1
2019,3,2
2019,3,3
2019,3,4
2019,3,5
2021,1,1
2021,1,2
2021,1,3
2021,1,4
2021,1,5
2021,2,1
2021,2,2
2021,2,3
2021,2,4
2021,2,5
2021,3,1
2021,3,2
2021,3,3
2021,3,4
2021,3,5
2022,1,1
2022,1,2
2022,1,3
2022,1,4
2022,1,5
2022,2,1
2022,2,2
2022,2,3
2022,2,4
2022,2,5
2022,3,1
2022,3,2
2022,3,3
2022,3,4
2022,3,5
